conceptos
PAGOS AFIP   VEP
TRF  IN COEL
LR-INTERESES
AJ.IN.COB.AC
LEY NRO 25.4
MANT. FRANCE TARIF
PERCEPCION I
TRANSFERENCI
TRANSF.BANEL
INTERES COBR
INT.COB.ACUE
LR-IMPUESTOS IMPUESTOS
LR-COMISIONE
COMISION TRA
IVA ACRECENT
CP-VISA-INDI
COMISION MAN 07/22
IVA TASA GRA
REG REC SIRC  S
OG-DEBITO    HABERES OL
IMPUESTO LEY
LR-ACREDITAC
UG-DEBITO CU
SELLADO
